seed,config,r,m_t_source,point_idx,category,t,tau,d_eff_denoiser,d_eff_energy
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.7929977178573608,0.1136527103800597,45.70545959472656,41.23447406054319
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.7929977178573608,0.1136527103800597,45.988311767578125,23.250431431456036
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.7929977178573608,0.1136527103800597,95.7474594116211,67.505298382675
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.7929977178573608,0.1136527103800597,78.4045639038086,46.360595669252945
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.8667932748794556,0.045091974415785184,59.275634765625,39.49022101421781
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.8667932748794556,0.045091974415785184,48.38422393798828,23.148837126807308
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.8667932748794556,0.045091974415785184,112.49662017822266,83.82540061040473
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.8667932748794556,0.045091974415785184,76.42906951904297,44.86586764852166
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.9243887662887573,0.014240003124832406,71.22636413574219,59.229609904901935
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.9243887662887573,0.014240003124832406,70.55653381347656,15.905723803517645
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.9243887662887573,0.014240003124832406,150.94818115234375,66.53195837910852
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.9243887662887573,0.014240003124832406,100.28659057617188,50.647016849330555
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.9639095067977905,0.003220746852003259,112.06463623046875,98.00761072938195
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.9639095067977905,0.003220746852003259,97.45911407470703,0.5944353626020984
